Algorithm,Samples,Execution,Generation Time,Sample Time
Outlines,50,0,3.302046060562134,2.5848824977874756
PDFA,50,0,6.992525577545166,0.008711099624633789
GPT2,50,0,0.0,1.1306276321411133
Outlines,1000,0,3.367955446243286,40.20787453651428
PDFA,1000,0,6.791472911834717,0.13191509246826172
GPT2,1000,0,0.0,22.485921144485474
Outlines,3000,0,3.6445181369781494,127.43091535568237
PDFA,3000,0,6.561614274978638,0.35625386238098145
GPT2,3000,0,0.0,65.52326512336731
Outlines,5000,0,3.328556537628174,203.42334985733032
PDFA,5000,0,6.469421863555908,0.5730645656585693
GPT2,5000,0,0.0,110.88906359672546
Outlines,50,1,3.332496166229248,2.5718843936920166
PDFA,50,1,6.921304702758789,0.007040262222290039
GPT2,50,1,0.0,1.1158599853515625
Outlines,1000,1,3.363767385482788,39.028305768966675
PDFA,1000,1,6.47029709815979,0.11998486518859863
GPT2,1000,1,0.0,22.37929391860962
Outlines,3000,1,3.2898788452148438,123.5407645702362
PDFA,3000,1,6.627345561981201,0.36310863494873047
GPT2,3000,1,0.0,67.62681746482849
Outlines,5000,1,3.321314811706543,205.77516889572144
PDFA,5000,1,11.098088502883911,0.5840213775634766
GPT2,5000,1,0.0,109.1880440711975
Outlines,50,2,3.3216288089752197,2.6844234466552734
PDFA,50,2,6.9108850955963135,0.0067827701568603516
GPT2,50,2,0.0,1.0883617401123047
Outlines,1000,2,3.3156862258911133,41.912078857421875
PDFA,1000,2,4.128851413726807,0.11422371864318848
GPT2,1000,2,0.0,22.98743748664856
Outlines,3000,2,3.5034143924713135,118.97706031799316
PDFA,3000,2,6.833045244216919,0.34788084030151367
GPT2,3000,2,0.0,67.00549650192261
Outlines,5000,2,3.4320900440216064,199.54821801185608
PDFA,5000,2,6.6429054737091064,0.5798845291137695
GPT2,5000,2,0.0,115.2084276676178
Outlines,50,3,3.3111791610717773,2.678328037261963
PDFA,50,3,6.813705682754517,0.008388519287109375
GPT2,50,3,0.0,1.1607708930969238
Outlines,1000,3,3.3665852546691895,41.39952087402344
PDFA,1000,3,6.648562431335449,0.11583900451660156
GPT2,1000,3,0.0,21.96194100379944
Outlines,3000,3,3.3191654682159424,121.09549140930176
PDFA,3000,3,6.909015893936157,0.3400735855102539
GPT2,3000,3,0.0,76.97367334365845
Outlines,5000,3,3.3520946502685547,200.18373155593872
PDFA,5000,3,6.53858208656311,0.5653748512268066
GPT2,5000,3,0.0,112.60845899581909
Outlines,50,4,3.293381929397583,2.6642916202545166
PDFA,50,4,6.888836860656738,0.0070171356201171875
GPT2,50,4,0.0,1.0805788040161133
Outlines,1000,4,3.330660820007324,42.34363865852356
PDFA,1000,4,6.899965524673462,0.13198113441467285
GPT2,1000,4,0.0,21.82416033744812
Outlines,3000,4,3.317256212234497,122.4599359035492
PDFA,3000,4,6.730891227722168,0.3595147132873535
GPT2,3000,4,0.0,68.05978679656982
Outlines,5000,4,3.2817375659942627,202.1926519870758
PDFA,5000,4,7.011151552200317,0.5831506252288818
GPT2,5000,4,0.0,113.35963606834412
